ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
010001600,123617500,50437660,600,MASSIE RD,,80 AC JAG SCHOOL,3516163.2
010001200,1721100,50437661,1159,MILLMONT ST,,LOT C-1 WEST BAR,25264.8
010001500,2146000,50437662,1149,MILLMONT ST,,LOT C-2A WEST BAR,39944.52
010001000,166481200,50437663,1117,EMMET ST N,,39.832 ACRES BARRACKS ROAD SHOPPING CENTER,1937043.504
010001300,1218100,50437664,1135-37,MILLMONT ST,,LOT C-2B WEST BAR,17816.04
010001400,12348300,50437665,1111,MILLMONT ST,,LOT B-1 WEST BAR,143181.72
010004100,4864200,50437666,1170,EMMET ST N,,PARCEL 3 & PAR X,51879.96
010001700,9919400,50437667,1101,MILLMONT ST,,PARCEL V WEST BAR,150761.16
010004000,4361800,50437668,1138,EMMET ST N,,LOT M,109104.732
010004300,906800,50437669,1134,EMMET ST N,,LOT 2B,8886.24
010005000,434100,50437670,2030,BARRACKS RD,,LOT 11 BK 10 RUGBY,36198.36
010018000,15256100,50437671,1001,EMMET ST N,,"PARCELS 1,2 &3",315417.96
010006000,1415300,50437672,2028,BARRACKS RD,,LOTS 9 & 10 BK 10 RUGBY,82676.88
010017100,1881300,50437673,1895,WESTVIEW RD,,LOT B BK 11 RUGBY,40336.56
010007000,2499400,50437674,1930,BARRACKS RD,,"LOTS 7,8 & STRIP BK 10 RUGBY",90125.64
010016000,978200,50437675,1891,WESTVIEW RD,,LOT 2 BK 11 RUGBY,43560
010008000,498000,50437676,1924,BARRACKS RD,,LOT 6 & PT 5 BK 10 RUGBY,59633.64
010017000,1399400,50437677,1893,WESTVIEW RD,,LOT A BK 11 RUGBY,19645.56
010015000,1407100,50437678,1889,WESTVIEW RD,,LOT 3 BK 11 RUGBY,41120.64
010009000,1457600,50437679,1920,BARRACKS RD,,LOT 4 & PT LOT 5 BK 10 RUGBY,88252.56
010014000,1740100,50437680,1885,WESTVIEW RD,,LOT 4 BK 11 RUGBY,56235.96
010019000,900600,50437681,1890,WESTVIEW RD,,6537 SQ FT BK 9 RUGBY,6534
010020000,1585100,50437682,1888,WESTVIEW RD,,"LOTS 10,11 &TRI LOT BK 9 RUGBY",22215.6
020001000,436100,50437683,1916,BARRACKS RD,,LOT 3 BK 10 RUGBY,50006.88
010012000,936700,50437684,1857,WESTVIEW RD,,PT LOTS 5 & 6 BK 11 RUGBY,37505.16
010021000,1458700,50437685,1884,WESTVIEW RD,,LOT 12 BK 9 RUGBY,14984.64
020002000,269200,50437686,1914,BARRACKS RD,,PT LOT 2,25003.44
010011000,1270500,50437687,1855,WESTVIEW RD,,PT LOTS 6 & 7 BK 11 RUGBY,44387.64
020003000,1721000,50437688,1910,BARRACKS RD,,LOT 1 & PT 2 BK 10 RUGBY,103324.32
010033000,778000,50437689,1884,FIELD RD,,PT LOT 18 BK 8 RUGBY,12066.12
010048000,3617900,50437690,918,EMMET ST N,,LOT A-2,32626.44
010022000,1491800,50437691,1882,WESTVIEW RD,,LOT 13 BK 9 RUGBY,15071.76
010034000,1179300,50437692,1882,FIELD RD,,LOT 17 & PT 18 BK 8 RUGBY,14157
010030100,1039100,50437693,1871,FIELD RD,,PT LOTS 7 & 8 BK 9 RUGBY,14244.12
010010000,1315900,50437694,1851,WESTVIEW RD,,LOT 8 & PT 7 BK 11 RUGBY,40510.8
010023000,1085100,50437695,1880,WESTVIEW RD,,LOT 14 BK 9 RUGBY,14984.64
010048200,3579400,50437696,914,EMMET ST N,,LOT A-1,30230.64
020004000,811000,50437697,120,BUCKINGHAM RD,,LOT 1 RUGBY SIDE,24175.8
010035000,865500,50437698,1874,FIELD RD,,LOT 16 BK 8 RUGBY,17511.12
010047000,1421100,50437699,905,FENDALL TER,,"LOT 15, PT 14 & STR BK 6 RUGBY",70000.92
010030000,1035500,50437700,1869,FIELD RD,,PT LOTS 6 & 7 BK 9 RUGBY,14244.12
020005000,1340000,50437701,128,BUCKINGHAM RD,,LOTS 2 & 3 RUGBY SIDE,39552.48
010049000,976200,50437702,900,EMMET ST N,,LOT 3 BK 4 DUKE,18077.4
020026000,2225000,50437703,1861,WESTVIEW RD,,"LOTS 9,10 & PT 11 BK 11 RUGBY",76186.44
010036000,941400,50437704,1872,FIELD RD,,LOT 15 BK 8 RUGBY,17511.12
010029000,1079700,50437705,1867,FIELD RD,,LOT 5 & PT 6 BK 9 RUGBY,18556.56
010049100,537700,50437706,902,EMMET ST N,,LOT,9191.16
020006300,1052000,50437707,118,BUCKINGHAM RD,,LOT 8 RUGBY SIDE,27355.68
010048100,1093800,50437708,904,EMMET ST N,,LOT B,20255.4
010037000,1007500,50437709,1870,FIELD RD,,LOT 14 BK 8 RUGBY,17511.12
020007000,1206800,50437710,104,BUCKINGHAM RD,,LOT 4 RUGBY SIDE,22172.04
010026000,1213400,50437711,1852,WESTVIEW RD,,LOT 17 & PT 16 & 18 BK 9 RUGBY,24393.6
020008000,697300,50437712,1820,BARRACKS RD,,LOT 1,10890
020025000,2527800,50437713,1839,WESTVIEW RD,,LOT 12A &REVISED LOT 12 BK 11 RUGBY,80150.4
020009000,681700,50437714,1812,BARRACKS RD,,LOT 2,14113.44
010028000,1006100,50437715,1865,FIELD RD,,LOT 4 BK 9 RUGBY,14984.64
010038000,1669300,50437716,1868,FIELD RD,,LOT 13 BK 8 RUGBY,17511.12
010041000,1976700,50437717,906,FENDALL TER,,"LOTS B,C & STRIP RUGBY",45825.12
020006200,745400,50437718,114,BUCKINGHAM RD,,LOT 7 RUGBY SIDE,17903.16
020024000,2275900,50437719,1833,WESTVIEW RD,,LOT 14 (4.039 ACRES),175938.84
020014000,846400,50437720,1808,BARRACKS RD,,LOT 3 HOWARD,16814.16
010027000,1058400,50437721,1863,FIELD RD,,LOT 3 BK 9 RUGBY,14897.52
020006000,1072400,50437722,108,BUCKINGHAM RD,,LOT 5 RUGBY SIDE,19340.64
020027000,1279900,50437723,1848,WESTVIEW RD,,PT LOTS 18 & 19 BK 9 RUGBY,16944.84
020006100,649300,50437724,110,BUCKINGHAM RD,,LOT 6 RUGBY SIDE,22999.68
010046000,1526900,50437725,901,FENDALL TER,,LOT 13 & PT 14 BK 6 RUGBY,29228.76
020010000,627000,50437726,116,HOWARD DR,,LOT 8 HOWARD,9844.56
010039000,927900,50437727,1866,FIELD RD,,LOT 12 BK 8 RUGBY,17511.12
020015000,827900,50437728,1806,BARRACKS RD,,LOT 4,15725.16
020032000,1357500,50437729,1861,FIELD RD,,LOT 2 & PT 1 BK 9 RUGBY,18730.8
020028000,1186100,50437730,1844,WESTVIEW RD,,"PT LOTS 19,20 & STR BK 9 RUGBY",18730.8
010040000,994800,50437731,1864,FIELD RD,,LOT 11 BK 8 RUGBY,17511.12
020011000,696400,50437732,114,HOWARD DR,,LOT 7 HOWARD,0
020016000,840000,50437733,1800,BARRACKS RD,,LOT A,17075.52
020021000,964000,50437734,941,ROSSER LN,,LOT C BK 13 RUGBY,63336.24
020013000,535100,50437735,110,HOWARD DR,,LOT 5,7710.12
010043000,911700,50437736,1861,WINSTON RD,,LOT A RUGBY,16030.08
010045000,1153900,50437737,1867,WINSTON RD,,LOT 1 & PT 2 BK 5 RUGBY,11979
020019100,1161800,50437738,947,ROSSER LN,,PARCEL B RUGBY,26397.36
020016200,759500,50437739,1109,RUGBY RD,,LOT C,8319.96
020012000,728700,50437740,112,HOWARD DR,,LOT 6,10062.36
020031000,2142300,50437741,1859,FIELD RD,,"LOT 1 & PT 23&24, PAR X BK 9 RUGBY",24175.8
020033000,1300000,50437742,1862,FIELD RD,,LOT 10 BK 8 RUGBY,25221.24
010044000,1803900,50437743,1863,WINSTON RD,,"LOTS 3,4 & PT 2 BK 5 RUGBY",18730.8
020029000,1383400,50437744,1834,WESTVIEW RD,,"LOT 21&PT 20,23&24 BK 9 RUGBY",25700.4
020020000,1422500,50437745,945,ROSSER LN,,LOT 5 & PT 4 BK 13 RUGBY,18687.24
020016100,766800,50437746,1107,RUGBY RD,,LOT B,9757.44
010042000,946000,50437747,1859,WINSTON RD,,PT LOTS 5 & 6 BK 5 RUGBY,7492.32
020037000,1214100,50437748,1860,FIELD RD,,LOT 9 BK 8 RUGBY,21649.32
020017000,1022000,50437749,1105,RUGBY RD,,PT LOT 5,26353.8
020034000,853900,50437750,1857,WINSTON RD,,LOT 7 & PT 6 BK 5 RUGBY,11238.48
020019000,2018700,50437751,1101,RUGBY RD,,PARCEL A RUGBY,51836.4
020023100,2228000,50437752,1829,WESTVIEW RD,,LOT B BK 8 RUGBY,28270.44
020038000,1002300,50437753,1858,FIELD RD,,LOT 8 BK 8 RUGBY,24219.36
020035000,1100300,50437754,1855,WINSTON RD,,LOT 8 & PT 9 BK 5 RUGBY,16204.32
020022000,1359500,50437755,939,ROSSER LN,,LOT D BK 13 RUGBY,33584.76
020042000,982300,50437756,1856,FIELD RD,,LOT 7 BK 8 RUGBY,13634.28
020044000,974800,50437757,919,OLD FARM RD,,LOT 5 BK 8 ROSSER,11674.08
030001000,717900,50437758,1106,RUGBY RD,,LOT RUGBY,18556.56
020036000,888300,50437759,1851,WINSTON RD,,PT LOTS 9 & 10 BK 5 RUGBY,14984.64
020043000,1000400,50437760,1854,FIELD RD,,LOT 6 BK 8 RUGBY,14636.16
030003000,682800,50437761,1717,RUGBY AVE,,LOT,11586.96
030005000,618300,50437762,1715,RUGBY AVE,,PT LOT 2,10846.44
020053000,974700,50437763,1832,WESTVIEW RD,,LOT 6 & PT 5 BK 7 RUGBY,17467.56
020066000,1150200,50437764,942,ROSSER LN,,LOT 23 BK I RUGBY,25700.4
020045000,931700,50437765,913,OLD FARM RD,,LOT 4 BK 8 RUGBY,11238.48
030006100,1125300,50437766,1705,RUGBY AVE,,LOT A,27834.84
020039000,989200,50437767,1849,WINSTON RD,,PT LOTS 10 & 11 BK 5 RUGBY,12763.08
030006000,862600,50437768,1701,RUGBY AVE,,LOT B,20734.56
030002000,734400,50437769,1102,RUGBY RD,,PT LOT RUGBY,16335
020040000,565800,50437770,1847,WINSTON RD,,PT LOT 11 BK 5 RUGBY,9016.92
030007000,406400,50437771,1106,STONEFIELD LN,,LOT 2 RUGBY WOODS,7797.24
020065000,1242600,50437772,938,ROSSER LN,,REVISED LOT 22 BK I RUGBY,24262.92
020046000,923700,50437773,911,OLD FARM RD,,LOTS 2A & 3 BK 8 RUGBY,15812.28
020052000,1210400,50437774,916,OLD FARM RD,,PT LOTS 4 & 5 BK 7 RUGBY,12371.04
030004000,1029600,50437775,1711,RUGBY AVE,,LOT,11543.4
020041000,968900,50437776,1843,WINSTON RD,,LOTS 12 & 13 BK 8 RUGBY,26702.28
020054600,1085300,50437777,915,COTTAGE LN,,LOT 7 BK B RUGBY,13285.8
020068000,3352800,50437778,1007,RUGBY RD,,LOTS 1 & 2A BK 1 RUGBY,80803.8
030009000,426600,50437779,1641,RUGBY AVE,,LOT 2 RUGBY WOODS,11238.48
030010000,824400,50437780,1637,RUGBY AVE,,LOTS 3 & 3A RUGBY WOODS,13503.6
020023000,2371100,50437781,1801,WESTVIEW RD,,LOT A1 BK 13 RUGBY,47785.32
030011000,205600,50437782,1627,RUGBY AVE,,LOT 4 RUGBY WOODS,12283.92
020051000,994300,50437783,912,OLD FARM RD,,PT LOTS 3 & 4 BK 7 RUGBY,16509.24
020064000,1061400,50437784,932,ROSSER LN,,LOT A BK 1 RUGBY,21823.56
030012000,699400,50437785,1625,RUGBY AVE,,LOT 5 RUGBY WOODS,12240.36
030008000,547300,50437786,1643,RUGBY AVE,,LOT 1 RUGBY WOODS,7274.52
030013000,524400,50437787,1623,RUGBY AVE,,LOT 6 RUGBY WOODS,12283.92
020047000,971300,50437788,907,OLD FARM RD,,LOT 2 BK 8 RUGBY,14026.32
030014000,710900,50437789,1621,RUGBY AVE,,LOT A-1 RUGBY WOODS,12066.12
020054500,1434800,50437790,911,COTTAGE LN,,LOT 6 BK B RUGBY,9931.68
030015000,978100,50437791,1105,HERNDON RD,,LOT B-1 RUGBY WOODS,11935.44
020055101,966800,50437792,1828,WESTVIEW RD,,LOT 11 BK A RUGBY,13982.76
030016000,1198600,50437793,1549,RUGBY AVE,,LOT 9 & PT 10 RUGBY WOODS,17380.44
020063000,1247500,50437794,928,ROSSER LN,,LOT 20 BK 1 RUGBY,19297.08
030018000,487600,50437795,1545,RUGBY AVE,,PT LOT 10 RUGBY WOODS,10367.28
020050000,1408400,50437796,910,OLD FARM RD,,LOT A RUGBY,16335
020055900,323400,50437797,1824,WESTVIEW RD,,LOT 10 BK A RUGBY,10018.8
020048000,978400,50437798,1839,WINSTON RD,,LOT 1 BK 8 RUGBY,13808.52
030052000,772700,50437799,1006,RUGBY RD,,LOT B MALLISON PROP,17206.2
020054400,702100,50437800,909,COTTAGE LN,,LOT 5 BK B RUGBY,11107.8
030051000,597000,50437801,1718,RUGBY AVE,,PT LOT 2,23261.04
020055110,641800,50437802,910,COTTAGE LN,,LOT 12 BK A RUGBY,10846.44
030050000,573100,50437803,1710,RUGBY AVE,,PT LOT 2,23304.6
020055800,1348700,50437804,1822,WESTVIEW RD,,LOT 9 BK A RUGBY,12283.92
030049000,746100,50437805,1708,RUGBY AVE,,LOT 3,19079.28
030048000,552500,50437806,1706,RUGBY AVE,,LOT 4,16727.04
020062000,1045900,50437807,924,ROSSER LN,,LOT 19 BK 1 RUGBY,16509.24
030047000,792200,50437808,1702,RUGBY AVE,,LOT 5 & PARCEL X,20255.4
020050100,1079400,50437809,906,OLD FARM RD,,LOT B RUGBY,13852.08
030046000,952500,50437810,1700,RUGBY AVE,,LOT 6 & STRIP,24742.08
020054300,1006100,50437811,907,COTTAGE LN,,LOT 4 BK B RUGBY,10497.96
030045000,1247600,50437812,1698,RUGBY AVE,,LOT B WESTWOOD,32060.16
020055700,178400,50437813,1820,WESTVIEW RD,,LOT 8 BK A RUGBY,14287.68
020055000,1046500,50437814,908,COTTAGE LN,,LOT 1 BK A RUGBY,0
030052100,495200,50437815,1004,RUGBY RD,,LOT A MALLISON PROP,13416.48
020049000,1156000,50437816,1825,WINSTON RD,,LOT 1 BK 7 RUGBY,14287.68
030024000,971600,50437817,1626,RUGBY AVE,,LOT 1 BK B WESTWOOD,16030.08
020061000,1381400,50437818,920,ROSSER LN,,LOT 18 BK 1 RUGBY,15376.68
020054200,1145000,50437819,905,COTTAGE LN,,LOT 3 BK B RUGBY,10497.96
030023000,696100,50437820,1618,RUGBY AVE,,LOT 2 BK B WESTWOOD,15986.52
030022000,746500,50437821,1620,RUGBY AVE,,LOT 3 BK B WESTWOOD,15986.52
020055600,928000,50437822,909,ROSSER LN,,LOT 7 BK A RUGBY,15681.6
030021000,877100,50437823,1610,RUGBY AVE,,LOT 4 BK B WESTWOOD,15986.52
030020000,729500,50437824,1606,RUGBY AVE,,LOT 5 BK B WESTWOOD,15986.52
020054000,719900,50437825,1823,WINSTON RD,,LOT 1 BK 5 RUGBY,9452.52
030045100,494100,50437826,1165,KENSINGTON AVE,,LOT A WESTWOOD,8668.44
030019000,587300,50437827,1600,RUGBY AVE,,LOT 6 BK B WESTWOOD,13895.64
030053000,288800,50437828,1224,PRESTON AVE,A&B,LOT,10715.76
020071000,432900,50437829,925,RUGBY RD,,LOT 6 BK 1 RUGBY,24611.4
020060000,1178600,50437830,918,ROSSER LN,,PT LOT 17 & PAR X  BK 18 RUGBY,12327.48
020054100,1152000,50437831,1821,WINSTON RD,,LOT 2 BK B RUGBY,10802.88
020055100,840400,50437832,904,COTTAGE LN,,LOT 2 BK A RUGBY,9452.52
020055500,1025900,50437833,907,ROSSER LN,,LOT 6 BK A RUGBY,12675.96
030144000,2803900,50437834,936,RUGBY RD,,"PT LOTS 31,32 & 30' STRIP",107288.28
030044000,627300,50437835,1163,KENSINGTON AVE,,LOT 3 BK A WESTWOOD,22781.88
030054000,273400,50437836,1222,PRESTON AVE,,LOT,17206.2
030025000,617000,50437837,1619,WESTWOOD RD,,LOT 9 BK B WESTWOOD,15986.52
020055400,1043000,50437838,905,ROSSER LN,,LOT 5 BK A RUGBY,13503.6
020072000,1155700,50437839,921,RUGBY RD,,LOT 7 BK 1 RUGBY,14418.36
030026000,1114900,50437840,1617,WESTWOOD RD,,LOT 10 BK B WESTWOOD,15986.52
020055200,1056500,50437841,1815,WINSTON RD,,LOT 3 BK A RUGBY,11238.48
030027000,631200,50437842,1615,WESTWOOD RD,,LOT 11 BK B WESTWOOD,15986.52
030028000,897500,50437843,1611,WESTWOOD RD,,LOT 12 BK B WESTWOOD,15986.52
030055000,349800,50437844,1220,PRESTON AVE,,LOT,12371.04
020073000,1137700,50437845,919,RUGBY RD,,LOT 8 BK 1 RUGBY,13198.68
020055300,895800,50437846,901,ROSSER LN,,LOT 4 BK A RUGBY,16160.76
030043000,913400,50437847,1159,KENSINGTON AVE,,LOT 4 BK A WESTWOOD,24393.6
020074000,1544300,50437848,917,RUGBY RD,,LOT 9 BK 1 RUGBY,12240.36
030056000,388700,50437849,1218,PRESTON AVE,,LOT A,8668.44
030059000,297100,50437850,1214,PRESTON AVE,,LOT 1,12414.6
030057000,50500,50437851,1216,PRESTON AVE,,KELLEY JR LOT,10149.48
030139000,2775300,50437852,928,RUGBY RD,,LOT A,53535.24
020075000,1121900,50437853,915,RUGBY RD,,LOT 10 BK 1 RUGBY,11107.8
030042000,718400,50437854,1155,KENSINGTON AVE,,LOT 5 BK A WESTWOOD,21605.76
030032000,666500,50437855,1622,WESTWOOD RD,,LOT 1 BK CC WESTWOOD,23348.16
030058000,478500,50437856,1212,PRESTON AVE,,LOT,8712
020076000,1995300,50437857,905,RUGBY RD,,LOT 11 BK 1 RUGBY,12980.88
030031000,1389400,50437858,1618,WESTWOOD RD,,LOT 5 BK C WESTWOOD,15986.52
030030000,674800,50437859,1614,WESTWOOD RD,,LOT 4 BK C WESTWOOD,15986.52
030029000,1095300,50437860,1610,WESTWOOD RD,,LOT 3 BK C WESTWOOD,15986.52
030143000,363700,50437861,937,HEMLOCK LN,,LOT 1,11369.16
020077000,1091900,50437862,901,RUGBY RD,,LOT 12 BK 1 RUGBY,11107.8
030041000,938900,50437863,1151,KENSINGTON AVE,,LOT 6 BK A WESTWOOD,21649.32
030065000,590400,50437864,1208,PRESTON AVE,,RESIDUE OF PT LOTS 7 & 8,15246
030066000,471300,50437865,1204,PRESTON AVE,,LOT 3 & PARCEL X,9931.68
030067000,407900,50437866,1202,PRESTON AVE,,LOT 2,7056.72
030067200,851700,50437867,1607,CABELL AVE,,LOT 4,8145.72
030142000,368000,50437868,935,HEMLOCK LN,,LOT 2,7492.32
030141000,321700,50437869,933,HEMLOCK LN,,LOT 3,7492.32
030033000,967100,50437870,1629,HARDWOOD AVE,,LOT 2 BK CC WESTWOOD,17946.72
030140000,401900,50437871,931,HEMLOCK LN,,LOT 4,8712
030034000,658900,50437872,1625,HARDWOOD AVE,,LOT 3 BK CC WESTWOOD,15986.52
030035000,565400,50437873,1619,HARDWOOD AVE,,LOT 4 BK CC WESTWOOD,15986.52
030040000,618100,50437874,1147,KENSINGTON AVE,,LOT 7 BK A WESTWOOD,21431.52
030139100,1028100,50437875,835,CABELL AVE,,LOT B,37810.08
030136000,326400,50437876,936,HEMLOCK LN,,LOT 5,6969.6
030060100,597600,50437877,1609,CABELL AVE,,LOT 1 ROBINSON WOODS,0
030137000,308200,50437878,932,HEMLOCK LN,,LOT 6,7318.08
030039000,732700,50437879,1143,KENSINGTON AVE,,LOT 8 BK A WESTWOOD,38855.52
030138000,312000,50437880,930,HEMLOCK LN,,LOT 7,8015.04
030067100,575800,50437881,1605,CABELL AVE,,LOT 1,7448.76
030038000,582500,50437882,1630,HARDWOOD AVE,,LOT 9 BK A WESTWOOD,21387.96
030037000,550000,50437883,1624,HARDWOOD AVE,,LOT 10 BK A WESTWOOD,15986.52
030036000,611500,50437884,1620,HARDWOOD AVE,,LOT 11 BK A WESTWOOD,15986.52
030128000,2192000,50437885,832,CABELL AVE,,PT LOT 1 & PARCEL X,0
030068000,158500,50437886,,PRESTON AVE,,LOT 1,4356
030126100,6380000,50437887,1123-29,PRESTON AVE,,PARCEL B PRESTON SQ APTS,1393920
030078000,731900,50437888,100,BARBOUR DR,,LOT 8,10193.04
030079000,740300,50437889,1614,CABELL AVE,,LOT 9,9844.56
030080000,0,50437890,0,AMHERST CMN,,COMMON AREA-AMHERST COMMONS,21039.48
030077000,707300,50437891,102,BARBOUR DR,,LOT 7,9016.92
030073000,477200,50437892,1124,PRESTON AVE,A&B,PARCEL A,7971.48
030072000,158500,50437893,105,BARBOUR DR,,LOT 3,6098.4
030130000,552800,50437894,1117,PRESTON AVE,,LOT PRESTON HEIGHTS,13068
030076000,411000,50437895,104,BARBOUR DR,,LOT 6,0
030074000,292800,50437896,107,BARBOUR DR,,LOT 4,6359.76
030075000,158500,50437897,106,BARBOUR DR,,LOT 5,7971.48
030126000,6180600,50437898,1111,PRESTON AVE,,PARCEL A PRESTON SQ APTS,0
030081000,346400,50437899,1114,PRESTON AVE,,LOT,22215.6
030091000,209200,50437900,1112,PRESTON AVE,,LOT 1 TINSLEY TOWN,8842.68
030082000,50500,50437901,0,PRESTON AVE,,LOT 5,9757.44
030127000,249300,50437902,1109,PRESTON AVE,,LOT 11,12545.28
030125000,15759000,50437903,814-828,CABELL AVE,,"LOTS 1-4,7,8,REVISED 6",0
030124000,361300,50437904,1105,PRESTON AVE,,PT LOT 12 JEFFERIES ADDITION,12763.08
030090000,287000,50437905,1108,PRESTON AVE,,PT LOT 2 TINSLEY TOWN,6403.32
030093200,283900,50437906,1102,PRESTON AVE,A&B,LOT 2,7797.24
030093000,415700,50437907,1104,PRESTON AVE,,RESERVED AREA,16901.28
030123000,1276800,50437908,839,MADISON AVE,,PT LOTS 13 & 14,0
030093100,443600,50437909,1100,PRESTON AVE,A&B,LOT 1,9321.84
030089000,449700,50437910,1106,PRESTON AVE,A&B,LOT 3 & PT 7 TINSLEY TOWN,13764.96
030125200,19336700,50437911,704,MADISON AVE,,RESIDUE HAYES GARDENS,0
030118000,3965800,50437912,1015,PRESTON AVE,,LOTS,67953.6
030114000,147600,50437913,712,12TH ST NW,,LOT 14,3528.36
030113000,238700,50437914,708,12TH ST NW,,LOT 13 PARK HEIGHTS,6359.76
040009000,262900,50437915,609,13TH ST NW,,LOT 1 BK 38 PRESTON HEIGHTS,5619.24
030110000,283600,50437916,705,12TH ST NW,,LOT 20 PARK HEIGHTS,4094.64
040002000,510700,50437917,606,14TH ST NW,,LOT 8 & PT 7 BK 38 PRESTON HGT,8015.04
030112000,275600,50437918,706,12TH ST NW,,LOT 12 PARK HEIGHTS,6403.32
030096000,267100,50437919,1011,PRESTON AVE,,LOT A,6926.04
030103000,123900,50437920,124,ROSSER AVE E,,LOT 6 PARK HEIGHTS,7318.08
030102000,254500,50437921,122,ROSSER AVE E,,LOT 5 PARK HEIGHTS,7318.08
030101000,94600,50437922,120,ROSSER AVE E,,LOT 4 PARK HEIGHTS,6882.48
040008000,321400,50437923,603,13TH ST NW,,LOT 2&Y BK 38 PRESTON HEIGHTS,5793.48
030100000,168100,50437924,118,ROSSER AVE E,,LOT 3 PARK HEIGHTS,5488.56
030099000,199400,50437925,116,ROSSER AVE E,,LOT 2 PARK HEIGHTS,4704.48
030098000,233800,50437926,114,ROSSER AVE E,,LOT 1 PARK HEIGHTS,4965.84
030109000,364200,50437927,703,12TH ST NW,,LOT 19 PARK HEIGHTS,4399.56
030111000,398600,50437928,704,12TH ST NW,,LOT 11 PARK HEIGHTS,5401.44
040003000,516300,50437929,604,14TH ST NW,,LOT 9 BK 38 PRESTON HEIGHTS,6490.44
040010000,355500,50437930,608,13TH ST NW,,LOT 9 & PT 10 BK 37 PRESTON HG,7230.96
030104000,208900,50437931,126,ROSSER AVE E,,LOT 7 PARK HEIGHTS,5706.36
030097000,369600,50437932,100,ROSSER AVE E,,LOT A,9147.6
040005000,384000,50437933,1305,GRADY AVE,,LOT 3 BK 38 PRESTON HEIGHTS,6272.64
030107000,305300,50437934,132,ROSSER AVE E,,LOT 10 PARK HEIGHTS,4007.52
040006000,103000,50437935,1303,GRADY AVE,,PT LOT 2 BK 38 PRESTON HGTS,4573.8
030106000,192400,50437936,130,ROSSER AVE E,,LOT 9 PARK HEIGHTS,4007.52
030108000,220000,50437937,200,ROSSER AVE E,,LOT 18 PARK HEIGHTS,3136.32
030105000,184600,50437938,128,ROSSER AVE E,,LOT 8 PARK HEIGHTS,4007.52
040004000,282100,50437939,600,14TH ST NW,,LOT 10 BK 38 PRESTON HEIGHTS,6490.44
040007100,317800,50437940,605,13TH ST NW,,PT LOTS 1&2 BK 38 PRESTON HGTS,3441.24
040015000,324600,50437941,1207,GRADY AVE,,PT LOT 1-8&19 BK 37 PREST HGT,7840.8
040012000,373300,50437942,604,13TH ST NW,,LOT BK 37 PRESTON HEIGHTS,5488.56
040017000,172000,50437943,205,ROSSER AVE E,,LOT BK 37 PRESTON HEIGHTS,3571.92
040018000,509300,50437944,201,ROSSER AVE E,,"PT LOTS 1-8,LOT 19 BK 37 P HGT",18164.52
040007000,338700,50437945,1301,GRADY AVE,,PT LOT 1 BK 38 PRESTON HEIGHTS,3702.6
040013000,258700,50437946,602,13TH ST NW,,LOT 13&PT 12 BK 37 PRESTON HGT,5357.88
040111000,636500,50437947,510,14TH ST NW,,LOT 1 BK 10 PRESTON HEIGHTS,7623
040016000,268300,50437948,1205,GRADY AVE,,LOT BK 37 PRESTON HEIGTHS,5140.08
040014000,233000,50437949,1215,GRADY AVE,,LOT A  BK 37 PRESTON HEIGHTS,4660.92
040022000,233900,50437950,131,ROSSER AVE E,,LOTS 10&18 BK 36 PRESTON HGTS,6621.12
040023000,398400,50437951,521,11TH ST NW,,LOT 1 PRESTON HEIGHTS,4791.6
040039200,414600,50437952,612,11TH ST NW,,LOT 3 JOHN WEST LOTS,7187.4
040019000,372300,50437953,604,12TH ST NW,,PT LOTS 11-17 BK 36 PRESTON HG,0
040039000,288300,50437954,615,10 1/2 ST NW,,LOT 1 JOHN WEST LOTS,7056.72
040112000,524800,50437955,508,14TH ST NW,,LOT 2 BK 10 PRESTON HEIGHTS,6229.08
040110000,272500,50437956,523,13TH ST NW,,PT LOT 1 BK 10 PRESTON HGTS,5009.4
040020000,394300,50437957,1105,GRADY AVE,,PT LOTS 11-17 BK 36 PRESTON HG,7753.68
040024000,284900,50437958,517,11TH ST NW,,LOT 2 & PAR X PRESTON HGTS,3920.4
040021000,297300,50437959,1101,GRADY AVE,,PT LOTS 11-17 BK 36 PRESTON HG,7753.68
040040000,231100,50437960,608,10 1/2 ST NW,,LOTS 22&22 1/2 JOHN WEST LOT,10585.08
040039100,251000,50437961,611,10 1/2 ST NW,,LOT 2 JOHN WEST LOTS,6359.76
040038000,254200,50437962,610,11TH ST NW,,PT LOT 20 JOHN WEST LOTS,5445
040109000,393500,50437963,511,13TH ST NW,,LOT 13 BK 10 PRESTON HEIGHTS,6229.08
040113000,585500,50437964,506,14TH ST NW,,LOT 3 BK 10 PRESTON HEIGHTS,6229.08
040025000,277000,50437965,607,11TH ST NW,,LOTS 3 & 4 BK 36 PRESTON HGTS,4922.28
040041000,1373600,50437966,1010,PRESTON AVE,,"LOTS 23,23 1\2,PT 24&25 JOHN W",18905.04
040100000,482100,50437967,512,13TH ST NW,,LOTS 13&14 BK 9 PRESTON HGTS,6490.44
040036000,219900,50437968,609,10 1/2 ST NW,,PT LOT 20 JOHN WEST LOTS,5445
040037000,312600,50437969,608,11TH ST NW,,LOT 19 1/2 JOHN WEST LOTS,5445
040108100,419400,50437970,509,13TH ST NW,,LOT 12 BK 10 PRESTON HEIGHTS,6359.76
